Food Name,Category,Dietary Preference,Ingredients,Cooking Instructions,Spice Level,Cooking Time (mins),Serving Size,Calories,Protein (g),Carbohydrates (g),Fats (g),Step-by-Step Cooking Guide
Murukku,South Indian,Vegetarian,"Rice flour, urad dal flour, butter, sesame seeds","Knead dough, shape, deep-fry.",Medium,25,3,467,16,34,21,"1. Mix rice flour, urad dal flour, cumin seeds, and butter. 2. Add water to make a dough. 3. Use a murukku press to shape the dough into spirals. 4. Deep fry until golden brown. 5. Cool and store in an airtight container."
Thattai,South Indian,Vegetarian,"Rice flour, urad dal flour, spices","Make dough, flatten, deep-fry.",Medium,60,1,475,2,73,22,"1. Mix rice flour, urad dal flour, butter, and spices. 2. Add water to make a dough. 3. Shape into small discs and flatten. 4. Deep fry until crispy. 5. Cool and store in an airtight container."
Pesarattu,South Indian,High-Protein,"Green gram, ginger, chilies","Grind soaked dal, make thin dosas.",Medium,20,3,482,17,61,25,1. Soak green gram dal for 4 hours. 2. Grind into a smooth batter with ginger and green chilies. 3. Add salt and mix well. 4. Spread the batter on a hot tawa and cook until crispy. 5. Serve with ginger chutney.
Kappa,South Indian,Gluten-Free,"Tapioca, coconut, green chilies","Boil and mash, mix with coconut paste.",High,40,2,179,26,48,15,"1. Boil tapioca (kappa) with turmeric and salt. 2. Mash the cooked tapioca. 3. Temper mustard seeds, curry leaves, and green chilies in coconut oil. 4. Add the tempering to the mashed tapioca. 5. Serve with fish curry or chutney."
Kadubu,South Indian,Gluten-Free,"Rice flour, coconut, jaggery",Steam rice flour dumplings with coconut filling.,Mild,30,4,263,21,77,16,1. Prepare rice flour dough with water and salt. 2. Shape the dough into small cups. 3. Fill the cups with a mixture of jaggery and coconut. 4. Steam the kadubu for 10-15 minutes. 5. Serve warm.
Obbattu,South Indian,Vegetarian,"Maida, chana dal, jaggery, ghee","Make dough, stuff with sweet dal filling, cook.",Mild,40,1,386,20,11,11,"1. Prepare a dough with maida and water. 2. Prepare a filling with chana dal, jaggery, and cardamom. 3. Roll the dough into small discs, add the filling, and seal. 4. Roll again into thin discs and cook on a tawa. 5. Serve with ghee or milk."
Mysore Masala Dosa,South Indian,Vegetarian,"Dosa batter, potato filling, chutneys","Spread dosa, stuff with potato masala.",Medium,15,3,427,22,27,8,1. Prepare dosa batter (same as regular dosa). 2. Spread a layer of red chutney on the dosa. 3. Add potato masala in the center. 4. Fold the dosa and cook until crispy. 5. Serve with coconut chutney and sambar.
Neyyappam,South Indian,Vegetarian,"Rice flour, jaggery, ghee, banana","Mix, pour batter in oil, deep-fry.",Mild,55,1,214,17,75,22,"1. Soak rice and urad dal for 4 hours. 2. Grind into a smooth batter with jaggery and cardamom. 3. Add chopped banana and coconut pieces. 4. Heat a paniyaram pan, add ghee to each mold. 5. Pour the batter and cook until golden brown. Serve warm."
Kharabath,South Indian,Vegetarian,"Rava, vegetables, ghee, spices","Roast rava, cook with veggies and masala.",Medium,35,4,268,26,29,6,"1. Roast rava in ghee until aromatic. 2. Add water, salt, and cook until the rava is soft. 3. Add coconut milk and mix well. 4. Temper mustard seeds, curry leaves, and green chilies in ghee. 5. Add the tempering to the kharabath. Serve with chutney."
Puli Inji,South Indian,Vegetarian,"Tamarind, ginger, jaggery, mustard seeds",Cook tamarind paste with ginger and jaggery.,Medium,50,2,543,4,71,12,"1. Sauté ginger, green chilies, and curry leaves in oil. 2. Add tamarind water, jaggery, and salt. 3. Cook until the mixture thickens. 4. Add roasted fenugreek powder. 5. Cool and store in an airtight container. Serve as a side dish."
Sukha Bonda,South Indian,Vegetarian,"Gram flour, potatoes, green chilies","Coat mashed potato balls in batter, deep-fry.",Medium,20,3,283,6,24,10,"1. Mix besan, rice flour, and spices with water to make a thick batter. 2. Shape into small balls. 3. Deep fry until golden brown. 4. Drain excess oil. 5. Serve with chutney or tea."
Rava Kesari,South Indian,Vegetarian,"Rava, sugar, ghee, cardamom, nuts","Roast rava, cook with sugar syrup.",High,20,3,132,6,68,1,"1. Roast rava in ghee until aromatic. 2. Add water, sugar, and cook until the rava is soft. 3. Add food color (optional) and cardamom powder. 4. Add fried nuts and raisins. 5. Serve warm."
Paruppu Vadai,South Indian,High-Protein,"Chana dal, curry leaves, chilies","Grind dal, shape, deep-fry.",Mild,40,4,547,7,38,16,"1. Soak chana dal and urad dal for 4 hours. 2. Grind into a coarse batter with green chilies and ginger. 3. Add chopped onions, curry leaves, and salt. 4. Shape into small discs and deep fry. 5. Serve with chutney."
Kuzhambu,South Indian,Vegetarian,"Tamarind, vegetables, sambar powder",Cook tamarind broth with spices.,Mild,35,2,448,23,44,21,"1. Prepare tamarind water and add sambar powder. 2. Cook vegetables (like drumsticks and brinjal) in the tamarind water. 3. Temper mustard seeds, fenugreek seeds, and curry leaves in oil. 4. Add the tempering to the kuzhambu. 5. Simmer for 10 minutes. Serve with rice."
Venthaya Kuzhambu,South Indian,Vegetarian,"Fenugreek, tamarind, jaggery, spices",Cook tamarind broth with fenugreek.,High,40,1,400,12,68,14,"1. Prepare tamarind water and add fenugreek powder. 2. Cook vegetables (like drumsticks and brinjal) in the tamarind water. 3. Temper mustard seeds, fenugreek seeds, and curry leaves in oil. 4. Add the tempering to the kuzhambu. 5. Simmer for 10 minutes. Serve with rice."
Sundal,South Indian,High-Protein,"Chickpeas, coconut, mustard seeds","Boil chickpeas, temper, add coconut.",Medium,20,4,195,8,12,17,"1. Soak chickpeas overnight and pressure cook. 2. Temper mustard seeds, urad dal, and curry leaves in oil. 3"
Curd Rice,South Indian,Probiotic,"Rice, curd, mustard seeds, green chilies","Mix rice with curd, temper with mustard seeds.",Mild,35,4,122,13,31,16,"1. Cook rice and let it cool. 2. Mix curd (yogurt) with the rice. 3. Temper mustard seeds, urad dal, curry leaves, and green chilies in oil. 4. Add the tempering to the curd rice. 5. Garnish with grated carrots or pomegranate seeds. Serve chilled."
Tomato Rasam,South Indian,Vegetarian,"Tomatoes, tamarind, rasam powder","Boil with tamarind, temper with spices.",Medium,60,2,491,22,62,12,"1. Boil tomatoes, tamarind water, and rasam powder. 2. Add cooked dal and salt. 3. Temper mustard seeds, cumin seeds, curry leaves, and garlic in ghee. 4. Add the tempering to the rasam. 5. Garnish with coriander leaves. Serve hot with rice."
Chicken Biryani,South Indian,Non-Vegetarian,"Basmati rice, chicken, onions, tomatoes, yogurt, biryani masala, ginger-garlic paste, green chilies, saffron, milk, ghee, whole spices (bay leaf, cloves, cardamom, cinnamon, coriander, mint","Marinate chicken, cook with spices, layer with partially cooked rice, and dum cook (slow cook)",Spicy,60,2,500,25,60,15,"1. Marinate chicken with yogurt, spices, and ginger-garlic paste for at least 30 minutes. 2. Cook onions, tomatoes, and marinated chicken in a pan until tender. 3. Partially cook basmati rice with whole spices. 4. Layer the chicken and rice in a pot, adding saffron milk, ghee, and herbs. 5. Dum cook (seal the pot and slow cook) for 20-30 minutes. 6. Serve hot with raita."
Mutton Biryani,South Indian,Non-Vegetarian,"Basmati rice, mutton, onions, tomatoes, yogurt, biryani masala, ginger-garlic paste, green chilies, saffron, milk, ghee, whole spices (bay leaf, cloves, cardamom, cinnamon, coriander, mint","Marinate mutton, pressure cook until tender, layer with rice, and dum cook",Spicy,90,2,600,30,65,18,"1. Marinate mutton with yogurt, spices, and ginger-garlic paste for at least 1 hour. 2. Pressure cook mutton with onions, tomatoes, and spices until tender. 3. Partially cook basmati rice with whole spices. 4. Layer the mutton and rice in a pot, adding saffron milk, ghee, and herbs. 5. Dum cook (seal the pot and slow cook) for 30 minutes. 6. Serve hot with raita and boiled eggs."
Thengai Sadam,South Indian,High-Fiber,"Rice, coconut, green chilies, curry leaves","Cook rice, mix with tempered coconut.",High,20,1,523,6,79,10,"1. Cook rice and let it cool. 2. Grind coconut, green chilies, and cumin into a coarse paste. 3. Temper mustard seeds, urad dal, curry leaves, and cashews in oil. 4. Mix the coconut paste and tempering with the rice. 5. Serve with papad or pickle."
Vegetable Kuruma,South Indian,Vegetarian,"Mixed vegetables (carrot, beans, potato, peas), coconut, green chilies, yogurt, cashews, garam masala, poppy seeds, ginger-garlic paste, whole spices (bay leaf, cardamom, cinnamon, coriander, curry leaves",Cook vegetables with coconut paste and spices until thick gravy forms,Medium,40,1,250,7,35,8,"1. Grind coconut, green chilies, cashews, and poppy seeds into a paste. 2. Sauté onions, ginger-garlic paste, and whole spices in a pan. 3. Add chopped vegetables and cook for a few minutes. 4. Add the coconut paste, yogurt, and water, then simmer. 5. Cook until vegetables are tender and gravy thickens. 6. Garnish with coriander and serve hot."
Potato Masala,South Indian,Vegetarian,"Potatoes, onions, green chilies, mustard seeds, curry leaves, turmeric, salt, oil","Boil and mash potatoes, cook with tempered spices and onions",Mild,25,1,200,4,30,6,"1. Boil potatoes, peel, and mash them coarsely. 2. Heat oil in a pan, add mustard seeds, curry leaves, and green chilies. 3. Add onions and sauté until soft. 4. Add mashed potatoes, turmeric, and salt. 5. Mix well, cook for a few minutes, and serve."
Chicken Gravy,South Indian,Non-Vegetarian,"Chicken, onions, tomatoes, ginger-garlic paste, garam masala, chili powder, coriander powder, yogurt, whole spices (cardamom, cloves, cinnamon, curry leaves",Cook chicken with a spiced onion-tomato base to make a thick gravy,Spicy,50,1,450,28,40,15,"1. Heat oil, sauté whole spices, onions, and ginger-garlic paste. 2. Add chopped tomatoes and cook until soft. 3. Add chicken pieces, spices, and yogurt, mix well. 4. Add water and simmer until chicken is tender. 5. Garnish with coriander leaves and serve hot."
Mutton Gravy,South Indian,Non-Vegetarian,"Mutton, onions, tomatoes, ginger-garlic paste, garam masala, chili powder, coriander powder, whole spices (bay leaf, cloves, cinnamon, coconut paste, curry leaves",Pressure cook mutton with spices and blend with a thick masala gravy,Spicy,70,1,550,32,45,18,"1. Heat oil, sauté whole spices, onions, and ginger-garlic paste. 2. Add tomatoes, cook until soft. 3. Add mutton, spices, and cook in a pressure cooker until tender. 4. Add coconut paste and simmer to thicken. 5. Garnish with coriander and serve hot."
Fish Fry,South Indian,Non-Vegetarian,"Fish fillets, chili powder, turmeric, lemon juice, ginger-garlic paste, salt, oil",Marinate fish and shallow fry until crispy,Spicy,30,1,250,22,10,12,"1. Mix chili powder, turmeric, salt, lemon juice, and ginger-garlic paste. 2. Apply marinade to fish fillets and rest for 30 minutes. 3. Heat oil in a pan, shallow fry fish until golden brown. 4. Serve hot with lemon wedges and onion rings."
Fish Kulambu,South Indian,Non-Vegetarian,"Fish, tamarind, onions, tomatoes, garlic, mustard seeds, curry leaves, chili powder, coriander powder, turmeric, coconut milk",Simmer fish in a spicy tamarind-based gravy until tender,Spicy,45,1,400,25,35,14,"1. Heat oil, add mustard seeds, curry leaves, and garlic. 2. Add onions and tomatoes, sauté until soft. 3. Add tamarind extract, spices, and water. 4. Bring to a boil, add fish pieces, and cook until done. 5. Finish with coconut milk and simmer. 6. Serve hot with rice."
Chicken 65,South Indian,Non-Vegetarian,"Chicken, yogurt, red chili powder, turmeric, ginger-garlic paste, curry leaves, green chilies, cornflour, lemon juice, oil","Marinate chicken, deep-fry until crispy, and toss in spicy seasoning",Spicy,40,1,350,28,20,18,"1. Marinate chicken with yogurt, chili powder, turmeric, and ginger-garlic paste for 1 hour. 2. Coat with cornflour and deep-fry until golden. 3. Heat oil, add curry leaves and green chilies. 4. Toss fried chicken in seasoning. 5. Serve hot with lemon wedges."
Pasta,Foreign,Vegetarian,"Pasta, sauce (tomato/cream), garlic, herbs","Boil pasta, mix with sauce and season.",Medium,15,4,452,29,10,16,"1. Boil pasta in salted water until al dente. 2. Sauté garlic, onions, and tomatoes in olive oil. 3. Add cooked pasta to the sauce. 4. Toss well and garnish with cheese. 5. Serve hot."
Tacos,Foreign,Vegetarian,"Tortillas, meat, salsa, lettuce, cheese","Cook meat, assemble with toppings in tortillas.",Mild,45,1,562,26,46,7,"1. Cook seasoned ground meat or veggies. 2. Warm taco shells. 3. Fill shells with the cooked filling. 4. Top with lettuce, cheese, and salsa. 5. Serve with lime wedges."
Falafel,Foreign,High-Protein,"Chickpeas, garlic, herbs, flour","Blend, shape, deep-fry until golden.",High,25,4,546,21,19,3,1. Soak chickpeas overnight. 2. Blend with herbs and spices into a coarse mixture. 3. Shape into balls and deep fry. 4. Serve in pita bread with tahini sauce.
Ramen,Foreign,Vegetarian,"Noodles, broth, meat, egg, soy sauce","Cook broth, add noodles & toppings, serve hot.",Mild,60,3,519,21,52,5,"1. Boil ramen noodles. 2. Prepare broth with soy sauce, miso, or tonkotsu base. 3. Add toppings like boiled eggs, pork, and veggies. 4. Assemble noodles, broth, and toppings. 5. Serve hot."
Paella,Foreign,Non-Vegetarian,"Rice, seafood/chicken, saffron, veggies","Cook rice with broth, add proteins and spices.",High,45,1,310,9,37,18,"1. Sauté onions, garlic, and bell peppers in olive oil. 2. Add rice and saffron, cook briefly. 3. Add broth, seafood, and chorizo. 4. Simmer until rice is cooked. 5. Garnish with lemon wedges."
Croissant,Foreign,Vegetarian,"Flour, butter, sugar, yeast","Fold dough with butter, roll, bake.",High,60,2,374,17,11,9,"1. Prepare dough with flour, butter, yeast, and milk. 2. Fold and roll the dough multiple times to create layers. 3. Shape into crescents and proof. 4. Bake at 200°C until golden. 5. Serve warm."
Hummus,Foreign,High-Protein,"Chickpeas, tahini, garlic, lemon",Blend all ingredients until smooth.,Medium,25,3,423,30,45,7,"1. Blend cooked chickpeas, tahini, garlic, lemon juice, and olive oil. 2. Add water for desired consistency. 3. Season with salt and cumin. 4. Garnish with paprika and olive oil. 5. Serve with pita bread."
Burrito,Foreign,Vegetarian,"Tortilla, rice, beans, meat, salsa","Fill tortilla, wrap tightly, serve.",High,30,1,282,26,62,17,"1. Cook seasoned rice, beans, and meat. 2. Warm a tortilla. 3. Layer rice, beans, meat, cheese, and salsa. 4. Roll tightly into a burrito. 5. Serve with guacamole."
Quesadilla,Foreign,Vegetarian,"Tortilla, cheese, meat/veggies","Fill tortilla with cheese, grill until golden.",Medium,45,1,594,29,32,13,"1. Place cheese and fillings (chicken, veggies) on a tortilla. 2. Top with another tortilla. 3. Cook on a skillet until cheese melts. 4. Cut into wedges. 5. Serve with salsa and sour cream."
Spring Rolls,Foreign,Vegetarian,"Rice paper, veggies, shrimp","Roll fillings in rice paper, serve fresh.",High,35,1,423,28,49,22,"1. Soak rice paper in water until soft. 2. Fill with veggies, noodles, and shrimp. 3. Roll tightly. 4. Serve with dipping sauce."
